"filename", "language", "C++", "GLSL", "Makefile", "YAML", "Markdown", "CSS", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\GLFW\glfw3.h", "C++", 574, 0, 0, 0, 0, 0, 0, 0, 5059, 242, 5875
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\GLFW\glfw3native.h", "C++", 83, 0, 0, 0, 0, 0, 0, 0, 404, 39, 526
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\KHR\khrplatform.h", "C++", 106, 0, 0, 0, 0, 0, 0, 0, 156, 29, 291
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glad\glad.h", "C++", 2093, 0, 0, 0, 0, 0, 0, 0, 20, 17, 2130
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\.appveyor.yml", "YAML", 0, 0, 0, 77, 0, 0, 0, 0, 0, 11, 88
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\.travis.yml", "YAML", 0, 0, 0, 695, 0, 0, 0, 0, 0, 41, 736
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\common.hpp", "C++", 97, 0, 0, 0, 0, 0, 0, 0, 389, 54, 540
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\_features.hpp", "C++", 110, 0, 0, 0, 0, 0, 0, 0, 185, 100, 395
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\_fixes.hpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 5, 7, 28
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\_noise.hpp", "C++", 67, 0, 0, 0, 0, 0, 0, 0, 0, 15, 82
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\_swizzle.hpp", "C++", 704, 0, 0, 0, 0, 0, 0, 0, 55, 46, 805
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\_swizzle_func.hpp", "C++", 648, 0, 0, 0, 0, 0, 0, 0, 0, 35, 683
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\_vectorize.hpp", "C++", 142, 0, 0, 0, 0, 0, 0, 0, 0, 21, 163
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\compute_common.hpp", "C++", 43, 0, 0, 0, 0, 0, 0, 0, 1, 7, 51
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\compute_vector_relational.hpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 12, 3, 31
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_common.inl", "C++", 638, 0, 0, 0, 0, 0, 0, 0, 43, 112, 793
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_common_simd.inl", "C++", 195, 0, 0, 0, 0, 0, 0, 0, 14, 23, 232
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_exponential.inl", "C++", 123, 0, 0, 0, 0, 0, 0, 0, 9, 21, 153
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_exponential_simd.inl", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 2, 6, 38
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_geometric.inl", "C++", 193, 0, 0, 0, 0, 0, 0, 0, 17, 34, 244
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_geometric_simd.inl", "C++", 143, 0, 0, 0, 0, 0, 0, 0, 2, 19, 164
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_integer.inl", "C++", 308, 0, 0, 0, 0, 0, 0, 0, 11, 54, 373
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_integer_simd.inl", "C++", 52, 0, 0, 0, 0, 0, 0, 0, 0, 14, 66
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_matrix.inl", "C++", 347, 0, 0, 0, 0, 0, 0, 0, 0, 52, 399
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_matrix_simd.inl", "C++", 191, 0, 0, 0, 0, 0, 0, 0, 24, 35, 250
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_packing.inl", "C++", 144, 0, 0, 0, 0, 0, 0, 0, 2, 44, 190
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_packing_simd.inl", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Z_HAO\Desktop\GLFW_config\GLFW_config\include\glm\detail\func_trigonometric.inl", "C++", 145, 0, 0, 0, 0, 0, 0, 0, 14, 39, 198
